Hashtag,Frequency
Ukraine,138210
Russia,49816
Putin,30281
StandWithUkraine,26265
UkraineRussiaWar,22263
UkraineWar,14855
Russian,12756
UkraineRussianWar,10897
ukraine,10767
NATO,10742
ZülHak,10303
İbrahimÇelikkol,10193
BirZamanlarÇukurova,10161
Zelensky,9330
Kyiv,9264
StopRussia,8386
StopPutin,8013
RussianUkrainianWar,7684
RussiaUkraineWar,7474
UkraineUnderAttack,7400
Ukrainian,7158
Mariupol,6821
russia,6242
Ucrania,5268
Kiev,5064
PutinWarCriminal,5015
StopPutinNOW,4965
Ucraina,4777
war,4516
USA,4312
Biden,4190
NFT,4032
Kharkiv,3942
putin,3872
UkraineUnderAttaсk,3855
Bitcoin,3584
RussiaUkraine,3535
China,3529
SlavaUkraini,3519
StopWar,3481
PutinIsaWarCriminal,3475
EU,3266
StopRussianAggression,3124
Rusia,3073
UkraineRussia,2997
Ukriane,2966
Russie,2919
NFTs,2801
RussiaUkraineConflict,2800
cryptocurrency,2781
PutinsWar,2725
StopWarInUkraine,2668
Europe,2587
news,2556
BREAKING,2541
RussiaInvadedUkraine,2494
IDO,2478
PutinWarCrimes,2459
US,2412
Ukraina,2404
NoWar,2394
StandWithUkriane,2390
Russland,2357
RussianArmy,2328
IStandWithUkraine,2290
Украина,2214
WarCrimes,2210
Anonymous,2201
ย,2172
UkraineInvasion,2153
HelpUkraine,2131
UkraineCrisis,2039
Zelenskyy,2011
RussianWarCrimes,1963
Poland,1962
FlagNetwork,1895
StopTheWar,1843
ร,1822
PutinHitler,1819
Україна,1781
ClosetheSkyoverUkraine,1772
Россия,1771
Kherson,1739
BubbliesForLeniKiko2022,1738
Belarus,1731
Poutine,1682
DonBelleForLeniKiko2022,1670
NFTCommunity,1652
DemVoice1,1644
LeniKiko2022,1584
Russians,1576
нетвойне,1563
Trump,1533
ウクライナ,1523
Airdrop,1500
SmartNews,1497
UKRAINE,1497
Donbass,1480
CloseTheSky,1471
bitcoin,1470
